Company,Symbol,ISIN Code
Finolex Cables Ltd.,FINCABLES.NS,INE235A01022
Finolex Industries Ltd.,FINPIPE.NS,INE183A01016
Firstsource Solutions Ltd.,FSL.NS,INE684F01012
Fortis Healthcare Ltd.,FORTIS.NS,INE061F01013
Future Consumer Ltd.,FCONSUMER.NS,INE220J01025
Future Lifestyle Fashions Ltd.,FLFL.NS,INE452O01016
Future Retail Ltd.,FRETAIL.NS,INE752P01024
GAIL (India) Ltd.,GAIL.NS,INE129A01019
GE Power India Ltd.,GEPIL.NS,INE878A01011
GE T&D India Ltd.,GET&D.NS,INE200A01026
GHCL Ltd.,GHCL.NS,INE539A01019
GMR Infrastructure Ltd.,GMRINFRA.NS,INE776C01039
GVK Power & Infrastructures Ltd.,GVKPIL.NS,INE251H01024
Galaxy Surfactants Ltd.,GALAXYSURF.NS,INE600K01018
Gateway Distriparks Ltd.,GDL.NS,INE852F01015
Gayatri Projects Ltd.,GAYAPROJ.NS,INE336H01023
General Insurance Corporation of India,GICRE.NS,INE481Y01014
Gillette India Ltd.,GILLETTE.NS,INE322A01010
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS.NS,INE264A01014
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS,INE159A01016
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,INE935A01035
Godfrey Phillips India Ltd.,GODFRYPHLP.NS,INE260B01028
Godrej Agrovet Ltd.,GODREJAGRO.NS,INE850D01014
Godrej Consumer Products Ltd.,GODREJCP.NS,INE102D01028
Godrej Industries Ltd.,GODREJIND.NS,INE233A01035
Godrej Properties Ltd.,GODREJPROP.NS,INE484J01027
Granules India Ltd.,GRANULES.NS,INE101D01020
Graphite India Ltd.,GRAPHITE.NS,INE371A01025
Grasim Industries Ltd.,GRASIM.NS,INE047A01021
Great Eastern Shipping Co. Ltd.,GESHIP.NS,INE017A01032
Greaves Cotton Ltd.,GREAVESCOT.NS,INE224A01026
Greenply Industries Ltd.,GREENPLY.NS,INE461C01038
Grindwell Norton Ltd.,GRINDWELL.NS,INE536A01023
Gruh Finance Ltd.,GRUH.NS,INE580B01029
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI.NS,INE186A01019
Gujarat Fluorochemicals Ltd.,GUJFLUORO.NS,INE538A01037
Gujarat Gas Ltd.,GUJGASLTD.NS,INE844O01030
Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC.NS,INE113A01013
Gujarat Pipavav Port Ltd.,GPPL.NS,INE517F01014
Gujarat State Fertilizers & Chemicals Ltd.,GSFC.NS,INE026A01025
Gujarat State Petronet Ltd.,GSPL.NS,INE246F01010
Gulf Oil Lubricants India Ltd.,GULFOILLUB.NS,INE635Q01029
H.E.G. Ltd.,HEG.NS,INE545A01016
HCL Infosystems Ltd.,HCL-INSYS.NS,INE236A01020
HCL Technologies Ltd.,HCLTECH.NS,INE860A01027
HDFC Bank Ltd.,HDFCBANK.NS,INE040A01026
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,INE795G01014
Hathway Cable & Datacom Ltd.,HATHWAY.NS,INE982F01036
Hatsun Agro Product Ltd.,HATSUN.NS,INE473B01035
Havells India Ltd.,HAVELLS.NS,INE176B01034
HeidelbergCement India Ltd.,HEIDELBERG.NS,INE578A01017
Heritage Foods Ltd.,HERITGFOOD.NS,INE978A01027
Hero MotoCorp Ltd.,HEROMOTOCO.NS,INE158A01026
Hexaware Technologies Ltd.,HEXAWARE.NS,INE093A01033
Himachal Fut Com Ltd.,HFCL.NS,INE548A01028
Himadri Speciality Chemical Ltd.,HSCL.NS,INE019C01026
Himatsingka Seide Ltd.,HIMATSEIDE.NS,INE049A01027
Hindalco Industries Ltd.,HINDALCO.NS,INE038A01020
Hindustan Aeronautics Ltd.,HAL.NS,INE066F01012
Hindustan Construction Co. Ltd.,HCC.NS,INE549A01026
Hindustan Copper Ltd.,HINDCOPPER.NS,INE531E01026
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,INE094A01015
Hindustan Unilever Ltd.,HINDUNILVR.NS,INE030A01027
Hindustan Zinc Ltd.,HINDZINC.NS,INE267A01025
Honeywell Automation India Ltd.,HONAUT.NS,INE671A01010
Housing & Urban Development Corporation Ltd.,HUDCO.NS,INE031A01017
Housing Development Finance Corporation Ltd.,HDFC.NS,INE001A01036
I T C Ltd.,ITC.NS,INE154A01025
ICICI Bank Ltd.,ICICIBANK.NS,INE090A01021
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,INE726G01019
ICICI Securities Ltd.,ISEC.NS,INE763G01038
IDBI Bank Ltd.,IDBI.NS,INE008A01015
IDFC First Bank Ltd.,IDFCFIRSTB.NS,INE092T01019
IDFC Ltd.,IDFC.NS,INE043D01016
IFB Industries Ltd.,IFBIND.NS,INE559A01017
IFCI Ltd.,IFCI.NS,INE039A01010
IL&FS Transportation Networks Ltd.,IL&FSTRANS.NS,INE975G01012
IRB Infrastructure Developers Ltd.,IRB.NS,INE821I01014
ITD Cementation India Ltd.,ITDCEM.NS,INE686A01026
ITI Ltd.,ITI.NS,INE248A01017
India Cements Ltd.,INDIACEM.NS,INE383A01012
India Tourism Development Corporation Ltd.,ITDC.NS,INE353K01014
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS,INE148I01020
Indiabulls Real Estate Ltd.,IBREALEST.NS,INE069I01010
Indiabulls Ventures Ltd.,IBVENTURES.NS,INE274G01010
Indian Bank,INDIANB.NS,INE562A01011
Indian Energy Exchange Ltd.,IEX.NS,INE022Q01020
Indian Hotels Co. Ltd.,INDHOTEL.NS,INE053A01029
Indian Oil Corporation Ltd.,IOC.NS,INE242A01010
Indian Overseas Bank ,IOB.NS,INE565A01014
Indo Count Industries Ltd.,ICIL.NS,INE483B01026
Indoco Remedies Ltd.,INDOCO.NS,INE873D01024
Indraprastha Gas Ltd.,IGL.NS,INE203G01027
IndusInd Bank Ltd.,INDUSINDBK.NS,INE095A01012
Infibeam Avenues Ltd.,INFIBEAM.NS,INE483S01020
Info Edge (India) Ltd.,NAUKRI.NS,INE663F01024
Infosys Ltd.,INFY.NS,INE009A01021
Inox Leisure Ltd.,INOXLEISUR.NS,INE312H01016
Inox Wind Ltd.,INOXWIND.NS,INE066P01011
Intellect Design Arena Ltd.,INTELLECT.NS,INE306R01017
InterGlobe Aviation Ltd.,INDIGO.NS,INE646L01027
Ipca Laboratories Ltd.,IPCALAB.NS,INE571A01020
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS,INE572A01028
J.K. Cement Ltd.,JKCEMENT.NS,INE823G01014
J.Kumar Infraprojects Ltd.,JKIL.NS,INE576I01022
JK Lakshmi Cement Ltd.,JKLAKSHMI.NS,INE786A01032
JK Tyre & Industries Ltd.,JKTYRE.NS,INE573A01042
JM Financial Ltd.,JMFINANCIL.NS,INE780C01023
JSW Energy Ltd.,JSWENERGY.NS,INE121E01018
JSW Steel Ltd.,JSWSTEEL.NS,INE019A01038
Jagran Prakashan Ltd.,JAGRAN.NS,INE199G01027
Jai Corp Ltd.,JAICORPLTD.NS,INE070D01027
Jain Irrigation Systems Ltd.,JISLJALEQS.NS,INE175A01038
Jaiprakash Associates Ltd.,JPASSOCIAT.NS,INE455F01025
Jaiprakash Power Ventures Ltd.,JPPOWER.NS,INE351F01018
Jammu & Kashmir Bank Ltd.,J&KBANK.NS,INE168A01041
Jet Airways (India) Ltd.,JETAIRWAYS.NS,INE802G01018
Jindal Saw Ltd.,JINDALSAW.NS,INE324A01024
Jindal Stainless (Hisar) Ltd.,JSLHISAR.NS,INE455T01018
Jindal Stainless Ltd.,JSL.NS,INE220G01021
Jindal Steel & Power Ltd.,JINDALSTEL.NS,INE749A01030
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC.NS,INE782A01015
Jubilant Foodworks Ltd.,JUBLFOOD.NS,INE797F01012
Jubilant Life Sciences Ltd.,JUBILANT.NS,INE700A01033
Justdial Ltd.,JUSTDIAL.NS,INE599M01018
Jyothy Laboratories Ltd.,JYOTHYLAB.NS,INE668F01031
K.P.R. Mill Ltd.,KPRMILL.NS,INE930H01023
KIOCL Ltd.,KIOCL.NS,INE880L01014
KNR Constructions Ltd.,KNRCON.NS,INE634I01029
KRBL Ltd.,KRBL.NS,INE001B01026
Kajaria Ceramics Ltd.,KAJARIACER.NS,INE217B01036
Kalpataru Power Transmission Ltd.,KALPATPOWR.NS,INE220B01022
Kansai Nerolac Paints Ltd.,KANSAINER.NS,INE531A01024
Karnataka Bank Ltd.,KTKBANK.NS,INE614B01018
Karur Vysya Bank Ltd.,KARURVYSYA.NS,INE036D01028
Kaveri Seed Company Ltd.,KSCL.NS,INE455I01029
Kec International Ltd.,KEC.NS,INE389H01022
Kolte-Patil Developers Ltd.,KOLTEPATIL.NS,INE094I01018
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,INE237A01028
L&T Finance Holdings Ltd.,L&TFH.NS,INE498L01015
L&T Technology Services Ltd.,LTTS.NS,INE010V01017
LIC Housing Finance Ltd.,LICHSGFIN.NS,INE115A01026
Lakshmi Machine Works Ltd.,LAXMIMACH.NS,INE269B01029
Lakshmi Vilas Bank Ltd.,LAKSHVILAS.NS,INE694C01018
Larsen & Toubro Infotech Ltd.,LTI.NS,INE214T01019
Larsen & Toubro Ltd.,LT.NS,INE018A01030
Laurus Labs Ltd.,LAURUSLABS.NS,INE947Q01010
Lemon Tree Hotels Ltd.,LEMONTREE.NS,INE970X01018
Linde India Ltd.,LINDEINDIA.NS,INE473A01011
Lupin Ltd.,LUPIN.NS,INE326A01037
Lux Industries Ltd.,LUXIND.NS,INE150G01020
MAS Financial Services Ltd.,MASFIN.NS,INE348L01012
MMTC Ltd.,MMTC.NS,INE123F01029
MOIL Ltd.,MOIL.NS,INE490G01020
MRF Ltd.,MRF.NS,INE883A01011
Magma Fincorp Ltd.,MAGMA.NS,INE511C01022
Mahanagar Gas Ltd.,MGL.NS,INE002S01010
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,INE774D01024
Mahindra & Mahindra Ltd.,M&M.NS,INE101A01026
Mahindra CIE Automotive Ltd.,MAHINDCIE.NS,INE536H01010
Mahindra Holidays & Resorts India Ltd.,MHRIL.NS,INE998I01010
Mahindra Logistics Ltd.,MAHLOG.NS,INE766P01016
Manappuram Finance Ltd.,MANAPPURAM.NS,INE522D01027
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,INE103A01014
Manpasand Beverages Ltd.,MANPASAND.NS,INE122R01018
Marico Ltd.,MARICO.NS,INE196A01026
Maruti Suzuki India Ltd.,MARUTI.NS,INE585B01010
Max Financial Services Ltd.,MFSL.NS,INE180A01020
Max India Ltd.,MAXINDIA.NS,INE153U01017
McLeod Russel India Ltd.,MCLEODRUSS.NS,INE942G01012
Merck Ltd.,MERCK.NS,INE199A01012
MindTree Ltd.,MINDTREE.NS,INE018I01017
Minda Corporation Ltd.,MINDACORP.NS,INE842C01021
Minda Industries Ltd.,MINDAIND.NS,INE405E01023
Monsanto India Ltd.,MONSANTO.NS,INE274B01011
Motherson Sumi Systems Ltd.,MOTHERSUMI.NS,INE775A01035
Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS,INE338I01027
MphasiS Ltd.,MPHASIS.NS,INE356A01018
Muthoot Finance Ltd.,MUTHOOTFIN.NS,INE414G01012
NATCO Pharma Ltd.,NATCOPHARM.NS,INE987B01026
NBCC (India) Ltd.,NBCC.NS,INE095N01031
NCC Ltd.,NCC.NS,INE868B01028
NESCO Ltd.,NESCO.NS,INE317F01035
NHPC Ltd.,NHPC.NS,INE848E01016
NIIT Technologies Ltd.,NIITTECH.NS,INE591G01017
NLC India Ltd.,NLCINDIA.NS,INE589A01014
NMDC Ltd.,NMDC.NS,INE584A01023
NTPC Ltd.,NTPC.NS,INE733E01010
Narayana Hrudayalaya Ltd.,NH.NS,INE410P01011
National Aluminium Co. Ltd.,NATIONALUM.NS,INE139A01034
National Fertilizers Ltd.,NFL.NS,INE870D01012
Nava Bharat Ventures Ltd.,NBVENTURES.NS,INE725A01022
Navin Fluorine International Ltd.,NAVINFLUOR.NS,INE048G01026
Navkar Corporation Ltd.,NAVKARCORP.NS,INE278M01019
Network18 Media & Investments Ltd.,NETWORK18.NS,INE870H01013
Nilkamal Ltd.,NILKAMAL.NS,INE310A01015
Oberoi Realty Ltd.,OBEROIRLTY.NS,INE093I01010
Oil & Natural Gas Corporation Ltd.,ONGC.NS,INE213A01029
Oil India Ltd.,OIL.NS,INE274J01014
Omaxe Ltd.,OMAXE.NS,INE800H01010
Oracle Financial Services Software Ltd.,OFSS.NS,INE881D01027
Orient Cement Ltd.,ORIENTCEM.NS,INE876N01018
Oriental Bank of Commerce,ORIENTBANK.NS,INE141A01014
PC Jeweller Ltd.,PCJEWELLER.NS,INE785M01013
PI Industries Ltd.,PIIND.NS,INE603J01030
PNB Housing Finance Ltd.,PNBHOUSING.NS,INE572E01012
PNC Infratech Ltd.,PNCINFRA.NS,INE195J01029
PTC India Fin Serv Ltd.,PFS.NS,INE560K01014
PTC India Ltd.,PTC.NS,INE877F01012
PVR Ltd.,PVR.NS,INE191H01014
Page Industries Ltd.,PAGEIND.NS,INE761H01022
Parag Milk Foods Ltd.,PARAGMILK.NS,INE883N01014
Persistent Systems Ltd.,PERSISTENT.NS,INE262H01013
Petronet LNG Ltd.,PETRONET.NS,INE347G01014
Pfizer Ltd.,PFIZER.NS,INE182A01018
Phillips Carbon Black Ltd.,PHILIPCARB.NS,INE602A01023
Phoenix Mills Ltd.,PHOENIXLTD.NS,INE211B01039
Pidilite Industries Ltd.,PIDILITIND.NS,INE318A01026
Piramal Enterprises Ltd.,PEL.NS,INE140A01024
Power Finance Corporation Ltd.,PFC.NS,INE134E01011
Power Grid Corporation of India Ltd.,POWERGRID.NS,INE752E01010
Praj Industries Ltd.,PRAJIND.NS,INE074A01025
Prestige Estates Projects Ltd.,PRESTIGE.NS,INE811K01011
Prism Johnson Ltd.,PRSMJOHNSN.NS,INE010A01011
Procter & Gamble Hygiene & Health Care Ltd.,PGHH.NS,INE179A01014
Punjab National Bank,PNB.NS,INE160A01022
Quess Corp Ltd.,QUESS.NS,INE615P01015
RBL Bank Ltd.,RBLBANK.NS,INE976G01028
REC Ltd.,RECLTD.NS,INE020B01018
RITES Ltd.,RITES.NS,INE320J01015
Radico Khaitan Ltd,RADICO.NS,INE944F01028
Rain Industries Ltd,RAIN.NS,INE855B01025
Rajesh Exports Ltd.,RAJESHEXPO.NS,INE343B01030
Rallis India Ltd.,RALLIS.NS,INE613A01020
Ramkrishna Forgings Ltd.,RKFORGE.NS,INE399G01015
Rashtriya Chemicals & Fertilizers Ltd.,RCF.NS,INE027A01015
Raymond Ltd.,RAYMOND.NS,INE301A01014
Redington (India) Ltd.,REDINGTON.NS,INE891D01026
Relaxo Footwears Ltd.,RELAXO.NS,INE131B01039
Reliance Capital Ltd.,RELCAPITAL.NS,INE013A01015
Reliance Communications Ltd.,RCOM.NS,INE330H01018
Reliance Home Finance Ltd.,RHFL.NS,INE217K01011
Reliance Industries Ltd.,RELIANCE.NS,INE002A01018
Reliance Infrastructure Ltd.,RELINFRA.NS,INE036A01016
Reliance Naval and Engineering Ltd.,RNAVAL.NS,INE542F01012
Reliance Nippon Life Asset Management Ltd.,RNAM.NS,INE298J01013
Reliance Power Ltd.,RPOWER.NS,INE614G01033
Repco Home Finance Ltd.,REPCOHOME.NS,INE612J01015
Rupa & Company Ltd.,RUPA.NS,INE895B01021
S H Kelkar and Company Ltd.,SHK.NS,INE500L01026
SBI Life Insurance Company Ltd.,SBILIFE.NS,INE123W01016
SJVN Ltd.,SJVN.NS,INE002L01015
SKF India Ltd.,SKFINDIA.NS,INE640A01023
SREI Infrastructure Finance Ltd.,SREINFRA.NS,INE872A01014
SRF Ltd.,SRF.NS,INE647A01010
Sadbhav Engineering Ltd.,SADBHAV.NS,INE226H01026
Sadbhav Infrastructure Project Ltd.,SADBHIN.NS,INE764L01010
Sanofi India Ltd.,SANOFI.NS,INE058A01010
Schaeffler India Ltd.,SCHAEFFLER.NS,INE513A01014
Security and Intelligence Services (India) Ltd.,SIS.NS,INE285J01010
Shankara Building Products Ltd.,SHANKARA.NS,INE274V01019
Sheela Foam Ltd.,SFL.NS,INE916U01025
Shilpa Medicare Ltd.,SHILPAMED.NS,INE790G01031
Shipping Corporation of India Ltd.,SCI.NS,INE109A01011
Shoppers Stop Ltd.,SHOPERSTOP.NS,INE498B01024
Shree Cement Ltd.,SHREECEM.NS,INE070A01015
Shree Renuka Sugars Ltd.,RENUKA.NS,INE087H01022
Shriram City Union Finance Ltd.,SHRIRAMCIT.NS,INE722A01011
Shriram Transport Finance Co. Ltd.,SRTRANSFIN.NS,INE721A01013
Siemens Ltd.,SIEMENS.NS,INE003A01024
Sintex Plastics Technology Ltd.,SPTL.NS,INE501W01021
Sobha Ltd.,SOBHA.NS,INE671H01015
Solar Industries India Ltd.,SOLARINDS.NS,INE343H01029
Sonata Software Ltd.,SONATSOFTW.NS,INE269A01021
South Indian Bank Ltd.,SOUTHBANK.NS,INE683A01023
Star Cement Ltd.,STARCEMENT.NS,INE460H01021
State Bank of India,SBIN.NS,INE062A01020
Steel Authority of India Ltd.,SAIL.NS,INE114A01011
Sterlite Technologies Ltd.,STRTECH.NS,INE089C01029
Strides Pharma Science Ltd.,STAR.NS,INE939A01011
Sudarshan Chemical Industries Ltd.,SUDARSCHEM.NS,INE659A01023
Sun Pharma Advanced Research Company Ltd.,SPARC.NS,INE232I01014
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,INE044A01036
Sun TV Network Ltd.,SUNTV.NS,INE424H01027
Sundaram Finance Ltd.,SUNDARMFIN.NS,INE660A01013
Sundram Fasteners Ltd.,SUNDRMFAST.NS,INE387A01021
Sunteck Realty Ltd.,SUNTECK.NS,INE805D01034
Supreme Industries Ltd.,SUPREMEIND.NS,INE195A01028
Suven Life Sciences Ltd.,SUVEN.NS,INE495B01038
Suzlon Energy Ltd.,SUZLON.NS,INE040H01021
Swan Energy Ltd.,SWANENERGY.NS,INE665A01038
Symphony Ltd.,SYMPHONY.NS,INE225D01027
Syndicate Bank,SYNDIBANK.NS,INE667A01018
Syngene International Ltd.,SYNGENE.NS,INE398R01022
TI Financial Holdings Ltd.,TIFIN.NS,INE149A01033
TTK Prestige Ltd.,TTKPRESTIG.NS,INE690A01010
TV Today Network Ltd.,TVTODAY.NS,INE038F01029
TV18 Broadcast Ltd.,TV18BRDCST.NS,INE886H01027
TVS Motor Company Ltd.,TVSMOTOR.NS,INE494B01023
TVS Srichakra Ltd.,TVSSRICHAK.NS,INE421C01016
Take Solutions Ltd.,TAKE.NS,INE142I01023
Tamil Nadu Newsprint & Papers Ltd.,TNPL.NS,INE107A01015
Tata Chemicals Ltd.,TATACHEM.NS,INE092A01019
Tata Coffee Ltd.,TATACOFFEE.NS,INE493A01027
Tata Consultancy Services Ltd.,TCS.NS,INE467B01029
